Designator,Footprint,Quantity,Value,LCSC Part #
"C100, C101, C102, C103, C70, C71, C72, C73",CP_Elec_4x5.8,8,47 uF,
"C104, C105, C54, C55, C62, C63, C74, C75, C86, C87, C92, C93",0603,12,200pF,
"C106, C107, C108, C109, C16, C17, C224, C225, C58, C59, C76, C77, C78, C79, C80, C81, C82, C83, C84, C85",0603,20,0.1uF,
"C14, C15, C19, C20, C222, C223, C226, C227, C230, C231, C27, C28, C47",0805,13,10uF,
"C21, C22, C228, C229",0805,4,2.2uF,
"C29, C30, C31, C32",0603,4,1200pF,
"C33, C34, C35, C36",0603,4,120pF,
C37,0805,1,0.1uF,
"C38, C39, C40, C41, C42, C43",CP_Elec_4x5.8,6,10uF,
"C44, C45, C46, C48",0805,4,1uF,
"C56, C57, C60, C61, C88, C89, C90, C91",0603,8,470pF,
"C64, C67, C94, C97",CP_Elec_4x5.8,4,47uF,
"C65, C66, C68, C69, C95, C96, C98, C99",0603,8,22uF,
"DZ1, DZ10, DZ11, DZ12, DZ13, DZ14, DZ15, DZ16, DZ2, DZ3, DZ4, DZ5, DZ6, DZ7, DZ8, DZ9",D_SMB,16,10V,
"H1, H2, H3, H4",MountingHole_3.2mm_M3,4,MountingHole_M3,
"IC1, IC5",SOP50P640X120-30N,2,PCM1865DBT,
IC2,SOT230P700X180-4N,1,LM2940IMPX-10_NOPB,
IC3,XC6902NA01PRG,1,XC6902NA01PR-G,
J1,Jack_3.5mm_CUI_SJ-3523-SMT_Horizontal,1,Line Out (Left),
"J10, J3, J4, J9",Jack_XLR-6.35mm_Neutrik_NCJ6FA-H_Horizontal,4,XLR3_AudioJack3_Combo,
J11,PinSocket_1x04_P2.54mm_Vertical,1,PINHD_1x4_Female,
"J13, J14",PinSocket_1x10_P2.54mm_Vertical,2,PINHD_1x10_Female,
J2,Jack_3.5mm_CUI_SJ-3523-SMT_Horizontal,1,Headphone Out,
"J20, J5, J6, J7",ACJMMV2,4,ACJM-MV-2,
J21,Jack_3.5mm_CUI_SJ-3523-SMT_Horizontal,1,Line Out (Right),
"J29, J30, J31, J32, J36",PinSocket_1x02_P2.54mm_Vertical,5,PINHD_1x2_Female,
J33,PinSocket_1x03_P2.54mm_Vertical,1,PINHD_1x3_Female,
"R1, R2, R3",0805,3,0R,
"R167, R168, R169, R170",0805,4,3k,
"R17, R18",0805,2,8.2k,
"R180, R23, R24, R37, R38, R39, R4, R40, R43, R5, R55, R57, R68, R69",0805,14,1k,
"R19, R20, R21, R22, R27, R28",0805,6,100,
"R25, R26",0805,2,15k,
"R29, R30",0805,2,20k,
"R31, R32, R33",0805,3,82k,
R42,0603,1,5k,
"R44, R45, R46, R47, R74, R75, R76, R77",0805,8,5.1k,
"R48, R49, R66, R67",0805,4,1M,
"R50, R51, R52, R53, R78, R79, R80, R81",0805,8,10k,
"R54, R56, R82, R83",0805,4,47,
"R58, R59, R60, R61, R62, R63, R70, R71, R84, R85, R86, R87",0805,12,2.2k,
"R64, R65, R88, R89",0805,4,1.1k,
"U10, U15, U18",SOIC127P600X175-8N,3,OPA2134,
U11,HVSSOP-8-1EP_3x3mm_P0.65mm_EP1.57x1.89mm,1,TPA6110A2DGN,
"U16, U17, U19, U20",SOIC127P600X175-8N,4,SSM2019BRNZ,
"U34, U35",SO-8_3.9x4.9mm_P1.27mm,2,NE5532AD,
U9,SSOP-16_3.9x4.9mm_P0.635mm,1,PCM1780,
