Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C14, C15, C19, C2, C20, C222, C223, C226, C227, C3, C4",0805,12,10uF,
"C10, C18, C23, C24, C25, C29, C30, C5, C6",0402,9,1uF,
"C11, C26, C7",0402,3,0.1uF,
"C12, C27, C8",0402,3,0.01uF,
"C13, C28, C9",0402,3,0.001uF,
"C16, C17, C224, C225",0603,4,0.1uF,
"C21, C22, C228, C229",0805,4,2.2uF,
C37,0805,1,0.1uF,
"C38, C39, C40, C43",CP_Elec_4x5.8,4,10uF,
"D1, D2, D3, D4, D5",0402,5,LED,
"H1, H2, H3, H4",MountingHole_3.2mm_M3,4,MountingHole_M3,
"IC1, IC5",SOP50P640X120-30N,2,PCM1865DBT,
"IC2, IC3, IC4",SOT95P280X145-5N,3,TPS73250DBVR,
J1,SHDR20W64P254_2X10_2794X910X880P,1,SBH11-PBPC-D10-ST-BK,
J11,PinHeader_1x01_P2.54mm_Vertical,1,PINHD_1x1_Male,
J12,PinHeader_1x03_P2.54mm_Vertical,1,PINHD_1x3_Male,
"J13, J14",PinSocket_1x10_P2.54mm_Vertical,2,PINHD_1x10_Female,
J15,PinHeader_1x02_P2.54mm_Vertical,1,PINHD_1x2_Male,
J8,PinSocket_1x05_P2.54mm_Vertical,1,PINHD_1x5_Female,
"R1, R2, R20, R3, R34, R35, R36, R37, R38, R39, R40, R42, R73, R8, R98",0805,15,0R,
"R10, R13, R43, R5, R6, R7, R72",0805,7,2.2k,
"R11, R12, R19, R21, R22, R41, R9",0805,7,50,
"R14, R15, R16, R4",0805,4,0,
"R90, R91, R92, R93, R94, R95, R96, R97",0402,8,100k,
U9,SSOP-16_3.9x4.9mm_P0.635mm,1,PCM1780,
