Designator,Mid X,Mid Y,Rotation,Layer
C1,136.4,-136.0,0.0,top
C10,266.05,-143.025,180.0,top
C11,266.05,-144.275,180.0,top
C12,266.05,-145.575,180.0,top
C13,266.05,-146.825,180.0,top
C14,124.18,-143.47,270.0,top
C15,122.8,-154.35,270.0,top
C16,126.07,-143.39,270.0,top
C17,125.21,-154.33,270.0,top
C18,264.17,-136.925,0.0,top
C19,128.0,-138.2,270.0,top
C2,142.8,-137.4,0.0,top
C20,125.7,-138.2,270.0,top
C21,121.45,-139.9,270.0,top
C22,124.5,-147.0,0.0,top
C222,188.4,-143.8,270.0,top
C223,188.8,-153.0,270.0,top
C224,190.6,-143.8,270.0,top
C225,191.0,-153.0,270.0,top
C226,190.4,-137.86,270.0,top
C227,188.1,-137.86,270.0,top
C228,185.325,-140.085,270.0,top
C229,189.5,-147.11,0.0,top
C23,265.97,-140.875,180.0,top
C24,254.17,-142.875,0.0,top
C25,115.43,-199.2,180.0,top
C26,115.46,-200.35,180.0,top
C27,115.48,-201.6,180.0,top
C28,115.53,-202.85,180.0,top
C29,118.5,-210.85,180.0,top
C3,197.55,-134.6,0.0,top
C30,118.0,-205.55,90.0,top
C37,232.05,-120.175,90.0,top
C38,236.4,-120.705,270.0,top
C39,224.45,-134.75,0.0,top
C4,201.4,-136.0,0.0,top
C40,224.625,-128.93,0.0,top
C43,224.6,-122.775,0.0,top
C5,249.62,-146.975,0.0,top
C6,255.14,-136.775,0.0,top
C7,249.62,-144.325,0.0,top
C8,249.62,-145.615,0.0,top
C9,249.62,-143.025,0.0,top
D1,183.2,-142.2,270.0,top
D2,124.6275,-151.2,0.0,top
D3,191.515,-156.4,0.0,top
D4,118.6,-140.8,270.0,top
D5,227.0775,-119.325,0.0,top
IC1,133.338,-144.65,0.0,top
IC2,116.75,-208.3,0.0,top
IC3,262.42,-139.875,0.0,top
IC4,253.42,-139.875,0.0,top
IC5,197.352,-144.0,0.0,top
J1,165.55,-131.12,0.0,top
J11,107.25,-199.2,90.0,top
J12,245.85,-131.925,180.0,top
J13,169.375,-196.64,0.0,top
J14,139.4,-196.64,0.0,top
J15,235.575,-135.125,270.0,top
J8,260.55,-150.8,90.0,top
R1,156.75,-145.5,90.0,top
R10,114.6,-139.4,90.0,top
R11,164.6,-182.8,270.0,top
R12,161.4,-182.0,270.0,top
R13,223.85,-117.725,180.0,top
R14,260.57,-146.125,270.0,top
R15,255.37,-146.125,270.0,top
R16,111.35,-199.2,180.0,top
R19,246.34,-120.505,180.0,top
R2,171.25,-145.6,90.0,top
R20,246.36,-126.385,180.0,top
R21,246.35,-117.815,180.0,top
R22,246.425,-123.155,180.0,top
R3,107.65,-146.1,90.0,top
R34,120.4,-144.4,0.0,top
R35,195.4,-150.6,90.0,top
R36,175.8,-203.0,180.0,top
R37,200.1,-152.05,270.0,top
R38,206.66,-151.07,270.0,top
R39,132.65,-152.03,270.0,top
R4,130.4,-150.95,90.0,top
R40,141.29,-148.67,270.0,top
R41,173.6,-193.8,270.0,top
R42,175.8,-208.0,180.0,top
R43,133.0,-193.6,90.0,top
R5,188.2,-158.7125,270.0,top
R6,181.2,-139.6,180.0,top
R7,120.3125,-151.2,180.0,top
R72,135.4,-193.6,90.0,top
R73,177.6,-143.0,270.0,top
R8,175.6,-200.4,180.0,top
R9,164.6,-192.8,0.0,top
R90,139.4,-134.0,0.0,top
R91,146.4,-135.8,90.0,top
R92,123.8,-131.4,90.0,top
R93,120.8,-135.69,90.0,top
R94,192.6,-133.6,0.0,top
R95,198.2,-128.11,90.0,top
R96,208.8,-135.31,90.0,top
R97,186.2,-133.6,0.0,top
R98,207.0,-143.0,0.0,top
U9,235.7,-127.9825,90.0,top
