Designator,Mid X,Mid Y,Rotation,Layer
C1,323.45,-119.0,180.0,top
C10,317.665,-161.89,0.0,top
C100,89.26,-103.8,180.0,top
C101,80.96,-103.75,180.0,top
C102,166.45,-104.6,180.0,top
C103,158.65,-104.7,180.0,top
C104,72.56,-110.9,0.0,top
C105,156.355,-110.09,0.0,top
C106,85.5,-121.75,0.0,top
C107,170.25,-122.25,0.0,top
C108,92.75,-116.25,90.0,top
C109,177.75,-116.3625,90.0,top
C11,311.815,-165.84,270.0,top
C12,182.915392,-97.644157,0.0,top
C13,182.865392,-108.944157,180.0,top
C14,181.95,-86.8,90.0,top
C15,181.85,-90.85,270.0,top
C16,277.2,-107.5,90.0,top
C17,266.0,-110.15,90.0,top
C18,250.976606,-115.555,180.0,top
C19,249.576606,-106.955,180.0,top
C2,323.45,-117.7,180.0,top
C20,343.0,-125.25,90.0,top
C21,331.3,-128.45,90.0,top
C22,339.175,-144.45,270.0,top
C23,330.075,-143.9,90.0,top
C24,327.3,-113.05,270.0,top
C25,326.25,-110.25,0.0,top
C29,312.75,-152.25,0.0,top
C3,331.9,-164.6,180.0,top
C30,316.75,-138.75,0.0,top
C34,306.75,-150.5,90.0,top
C36,311.5,-138.75,90.0,top
C4,341.75,-160.4,270.0,top
C41,301.7425,-142.225,0.0,top
C42,317.2425,-147.375,0.0,top
C44,326.25,-104.6,180.0,top
C45,341.5736,-110.9275,180.0,top
C46,336.085,-99.0775,0.0,top
C48,331.3,-109.925,270.0,top
C54,40.5,-93.25,0.0,top
C55,118.25,-94.25,0.0,top
C56,52.75,-92.75,180.0,top
C57,128.25,-92.7,180.0,top
C58,218.0,-81.0,180.0,top
C59,197.325,-82.0,90.0,top
C60,46.25,-93.25,0.0,top
C61,122.75,-92.75,0.0,top
C62,57.5,-84.5,270.0,top
C63,137.25,-85.0,270.0,top
C64,33.3,-100.3,90.0,top
C65,46.25,-95.25,0.0,top
C66,49.95,-94.75,90.0,top
C67,113.75,-102.25,90.0,top
C68,125.08,-95.5,90.0,top
C69,127.25,-95.5,90.0,top
C7,323.45,-116.45,180.0,top
C70,49.35,-105.65,180.0,top
C71,41.75,-105.65,180.0,top
C72,129.65,-105.8,180.0,top
C73,122.3,-105.8,180.0,top
C74,32.07,-113.55,0.0,top
C75,118.1,-110.6,0.0,top
C76,212.75,-92.25,180.0,top
C77,218.25,-84.25,180.0,top
C78,44.25,-122.0,270.0,top
C79,132.0,-121.5,0.0,top
C8,323.45,-115.2,180.0,top
C80,258.0,-81.0,180.0,top
C81,237.6,-81.2,180.0,top
C82,53.75,-116.0,90.0,top
C83,138.75,-116.0,90.0,top
C84,241.75,-94.0,0.0,top
C85,249.0,-85.7,180.0,top
C86,79.75,-92.75,0.0,top
C87,158.75,-94.0,0.0,top
C88,89.25,-92.7,180.0,top
C89,171.0,-92.75,180.0,top
C9,340.6,-102.2,180.0,top
C90,83.5,-92.75,0.0,top
C91,163.75,-93.25,0.0,top
C92,96.5,-84.5,270.0,top
C93,178.25,-84.5,270.0,top
C94,72.71,-100.3,90.0,top
C95,84.5,-94.75,180.0,top
C96,88.25,-94.75,180.0,top
C97,148.33375,-102.2,90.0,top
C98,163.75,-95.0,0.0,top
C99,171.0,-95.0,180.0,top
D1,346.55,-160.07,270.0,top
D10,327.9,-127.1,90.0,top
D11,333.125,-149.5,270.0,top
D2,308.755,-167.2625,270.0,top
D3,177.75,-107.4,0.0,top
D4,188.424106,-92.8125,0.0,top
D5,262.87,-107.05,0.0,top
D6,336.6,-94.8,270.0,top
D8,324.65,-108.3,270.0,top
D9,246.626606,-110.675,270.0,top
DZ1,29.15,-120.75,90.0,top
DZ10,69.91,-125.55,270.0,top
DZ11,153.4,-116.25,90.0,top
DZ12,153.455,-124.25,270.0,top
DZ13,75.06,-117.55,90.0,top
DZ14,75.06,-125.55,270.0,top
DZ15,159.195,-116.25,90.0,top
DZ16,159.255,-124.25,270.0,top
DZ2,29.15,-129.05,270.0,top
DZ3,115.45,-116.8,90.0,top
DZ4,115.55,-124.75,270.0,top
DZ5,35.25,-120.85,90.0,top
DZ6,35.25,-129.15,270.0,top
DZ7,120.75,-116.8,90.0,top
DZ8,120.75,-124.75,270.0,top
DZ9,69.91,-117.55,90.0,top
IC1,335.15,-158.9,90.0,top
IC10,334.775,-143.35,270.0,top
IC3,324.3,-112.6,0.0,top
IC4,316.6,-166.425,180.0,top
IC5,184.465392,-102.544157,0.0,top
IC6,186.475,-88.15,270.0,top
IC7,272.45,-111.75,270.0,top
IC8,252.05,-111.125,180.0,top
IC9,337.75,-130.05,270.0,top
J1,276.9,-61.075,0.0,top
J10,142.45,-62.425,0.0,top
J11,195.5,-175.03,0.0,top
J12,247.9,-99.715,180.0,top
J16,291.735,-177.78,270.0,top
J17,140.945,-96.1,90.0,top
J18,180.8,-130.535,0.0,top
J2,326.9,-61.075,0.0,top
J20,210.325,-61.075,0.0,top
J21,296.9,-61.075,0.0,top
J3,52.45,-62.425,0.0,top
J4,112.45,-62.425,0.0,top
J5,190.325,-61.075,0.0,top
J6,230.325,-61.075,0.0,top
J7,250.325,-61.075,0.0,top
J8,291.68,-171.065,90.0,top
J9,82.45,-62.425,0.0,top
R1,333.7375,-167.5,0.0,top
R10,335.6875,-150.05,0.0,top
R12,182.95,-94.85,0.0,top
R13,192.35,-88.15,0.0,top
R14,336.6,-90.7125,90.0,top
R15,251.976606,-118.905,270.0,top
R16,280.5,-108.45,0.0,top
R167,289.0775,-94.565,270.0,top
R168,291.6775,-94.565,90.0,top
R169,303.65,-94.7,270.0,top
R17,309.775,-155.825,90.0,top
R170,306.45,-94.7,90.0,top
R18,309.6425,-130.75,270.0,top
R19,346.0,-126.2,0.0,top
R2,315.715,-170.89,180.0,top
R20,342.225,-143.5,0.0,top
R22,323.0,-121.95,270.0,top
R23,309.77,-151.4,90.0,top
