Designator,Footprint,Quantity,Value,LCSC Part #
"C10, C11, C12, C13, C15, C16, C21, C22, C29, C3, C30, C4, C5, C6, C7, C8, C9",0603,17,100nF,
C14,0603,1,4.7 uF,
C17,0603,1,4.7uF,
"C18, C19",0603,2,2.2uF,
C20,0603,1,1uF,
"C23, C24",0603,2,12pF,
"C25, C26",0603,2,10pF,
"C27, C28",0603,2,0.01uF,
"J1, J4",PinHeader_1x10_P2.54mm_Vertical,2,PINHD_1x10_Male,
J5,PinSocket_1x02_P2.54mm_Vertical,1,PINHD_1x2_Female,
J6,PinSocket_1x10_P2.54mm_Vertical,1,PINHD_1x10_Female,
J7,SHDR20W64P254_2X10_2794X910X880P,1,SBH11-PBPC-D10-ST-BK,
"R10, R11, R13, R14, R15, R6, R7, R8, R9",0805,9,10k,
R5,0805,1,47,
U2,QFP50P2200X2200X160-144N,1,STM32H755ZIT6,
X3,NX3215SA32768KSTDMUA8,1,NX3215SA-32.768K,
X4,NX2016SA32MHZEXS00ACS06654,1,NX2016SA-32MHZ,
