Designator,Mid X,Mid Y,Rotation,Layer
C1,136.4,-136.0,0.0,top
C100,89.26,-103.8,180.0,top
C101,80.96,-103.75,180.0,top
C102,166.45,-104.6,180.0,top
C103,158.65,-104.7,180.0,top
C104,72.56,-110.9,0.0,top
C105,156.355,-110.09,0.0,top
C106,85.5,-121.75,0.0,top
C107,170.25,-122.25,0.0,top
C108,92.75,-116.25,90.0,top
C109,177.75,-116.3625,90.0,top
C14,124.18,-143.47,270.0,top
C15,122.8,-154.35,270.0,top
C16,126.07,-143.39,270.0,top
C17,125.21,-154.33,270.0,top
C19,128.0,-138.2,270.0,top
C2,142.8,-137.4,0.0,top
C20,125.7,-138.2,270.0,top
C21,121.45,-139.9,270.0,top
C22,124.5,-147.0,0.0,top
C222,188.4,-143.8,270.0,top
C223,188.8,-153.0,270.0,top
C224,190.6,-143.8,270.0,top
C225,191.0,-153.0,270.0,top
C226,190.4,-137.86,270.0,top
C227,188.1,-137.86,270.0,top
C228,185.325,-140.085,270.0,top
C229,189.5,-147.11,0.0,top
C29,312.75,-152.25,0.0,top
C3,197.55,-134.6,0.0,top
C30,316.75,-138.75,0.0,top
C34,306.75,-150.5,90.0,top
C36,311.5,-138.75,90.0,top
C37,318.15,-176.2,0.0,top
C38,317.62,-180.55,180.0,top
C39,303.575,-168.6,270.0,top
C4,201.4,-136.0,0.0,top
C40,309.395,-168.775,270.0,top
C41,301.7425,-142.225,0.0,top
C42,317.2425,-147.375,0.0,top
C43,315.55,-168.75,270.0,top
C44,326.25,-104.6,180.0,top
C45,341.5736,-110.9275,180.0,top
C46,336.085,-99.0775,0.0,top
C48,331.3,-109.925,270.0,top
C5,337.8,-205.2,270.0,top
C54,40.5,-93.25,0.0,top
C55,118.25,-94.25,0.0,top
C56,52.75,-92.75,180.0,top
C57,128.25,-92.7,180.0,top
C58,218.0,-81.0,180.0,top
C59,197.325,-82.0,90.0,top
C6,342.6,-202.4,270.0,top
C60,46.25,-93.25,0.0,top
C61,122.75,-92.75,0.0,top
C62,57.5,-84.5,270.0,top
C63,137.25,-85.0,270.0,top
C64,33.3,-100.3,90.0,top
C65,46.25,-95.25,0.0,top
C66,49.95,-94.75,90.0,top
C67,113.75,-102.25,90.0,top
C68,125.08,-95.5,90.0,top
C69,127.25,-95.5,90.0,top
C7,324.2,-190.6,90.0,top
C70,49.35,-105.65,180.0,top
C71,41.75,-105.65,180.0,top
C72,129.65,-105.8,180.0,top
C73,122.3,-105.8,180.0,top
C74,32.07,-113.55,0.0,top
C75,118.1,-110.6,0.0,top
C76,212.75,-92.25,180.0,top
C77,218.25,-84.25,180.0,top
C78,44.25,-122.0,270.0,top
C79,132.0,-121.5,0.0,top
C8,335.8,-190.6,270.0,top
C80,258.0,-81.0,180.0,top
C81,237.6,-81.2,180.0,top
C82,53.75,-116.0,90.0,top
C83,138.75,-116.0,90.0,top
C84,241.75,-94.0,0.0,top
C85,249.0,-85.7,180.0,top
C86,79.75,-92.75,0.0,top
C87,158.75,-94.0,0.0,top
C88,89.25,-92.7,180.0,top
C89,171.0,-92.75,180.0,top
C9,340.6,-102.2,180.0,top
C90,83.5,-92.75,0.0,top
C91,163.75,-93.25,0.0,top
C92,96.5,-84.5,270.0,top
C93,178.25,-84.5,270.0,top
C94,72.71,-100.3,90.0,top
C95,84.5,-94.75,180.0,top
C96,88.25,-94.75,180.0,top
C97,148.33375,-102.2,90.0,top
C98,163.75,-95.0,0.0,top
C99,171.0,-95.0,180.0,top
D1,183.2,-142.2,270.0,top
D2,124.6275,-151.2,0.0,top
D3,191.515,-156.4,0.0,top
D4,118.6,-140.8,270.0,top
D5,319.0,-171.2275,270.0,top
D6,336.6,-94.8,270.0,top
D7,346.8,-202.4,270.0,top
D8,343.6,-192.8,270.0,top
DZ1,29.15,-120.75,90.0,top
DZ10,69.91,-125.55,270.0,top
DZ11,153.4,-116.25,90.0,top
DZ12,153.455,-124.25,270.0,top
DZ13,75.06,-117.55,90.0,top
DZ14,75.06,-125.55,270.0,top
DZ15,159.195,-116.25,90.0,top
DZ16,159.255,-124.25,270.0,top
DZ2,29.15,-129.05,270.0,top
DZ3,115.45,-116.8,90.0,top
DZ4,115.55,-124.75,270.0,top
DZ5,35.25,-120.85,90.0,top
DZ6,35.25,-129.15,270.0,top
DZ7,120.75,-116.8,90.0,top
DZ8,120.75,-124.75,270.0,top
DZ9,69.91,-117.55,90.0,top
IC1,133.338,-144.65,0.0,top
IC2,329.4,-189.25,90.0,top
IC3,337.8,-199.925,0.0,top
IC5,197.352,-144.0,0.0,top
J10,142.45,-62.425,0.0,top
J11,94.65,-204.925,90.0,top
J12,306.4,-190.0,90.0,top
J13,169.375,-196.64,0.0,top
J14,139.4,-196.64,0.0,top
J15,303.2,-179.725,180.0,top
J16,314.465,-223.0,270.0,top
J17,140.945,-96.1,90.0,top
J18,180.8,-130.535,0.0,top
J3,52.45,-62.425,0.0,top
J4,112.45,-62.425,0.0,top
J8,313.29,-208.225,90.0,top
J9,82.45,-62.425,0.0,top
R1,156.75,-145.5,90.0,top
R10,114.6,-139.4,90.0,top
R11,164.6,-182.8,270.0,top
R12,161.4,-182.0,270.0,top
R13,320.6,-168.0,90.0,top
R14,336.6,-90.7125,90.0,top
R15,347.0,-206.0,270.0,top
R16,343.6,-188.4,90.0,top
R167,289.0775,-94.565,270.0,top
R168,291.6775,-94.565,90.0,top
R169,303.65,-94.7,270.0,top
R17,309.775,-155.825,90.0,top
R170,306.45,-94.7,90.0,top
R18,309.6425,-130.75,270.0,top
R19,317.82,-190.49,90.0,top
R2,171.25,-145.6,90.0,top
R20,311.94,-190.51,90.0,top
