Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C4",0402,2,10nF,
"C2, C239, C240, C243, C244, C3",0402,6,1uF,
C6,0805,1,1.5nF,
C7,CP_Elec_6.3x5.4,1,100uF_50V,
C8,CP_Elec_10x10.5,1,330uF_35V,
D1,TMBYV1040FILM,1,TMBYV10-40FILM,
"D5, D7, D8",0402,3,LED,
"H1, H2, H3, H4",MountingHole_3.2mm_M3,4,MountingHole_M3,
IC1,SOP65P490X110-9N,1,NCP731ADNADJR2G,
IC3,SOIC127P600X175-8N,1,MC34063ECD-TR,
"IC8, IC9",SOT95P280X145-5N,2,TLV73333PDBVR,
J1,PinSocket_1x04_P2.54mm_Vertical,1,PINHD_1x4_Female,
J2,PinHeader_1x04_P2.54mm_Vertical,1,PINHD_1x4_Male,
"J23, J24, J26, J29, J32",PinSocket_1x02_P2.54mm_Vertical,5,PINHD_1x2_Female,
J25,"TerminalBlock_Phoenix_PT-1,5-4-5.0-H_1x04_P5.00mm_Horizontal",1,Screw_Terminal_4_P5.00mm,
J28,PinSocket_1x05_P2.54mm_Vertical,1,PINHD_1x5_Female,
L2,L_Vishay_IHLP-1212,1,180uH,
R1,0402,1,135k,
"R171, R173, R174",0805,3,2.2k,
R2,0402,1,5k,
R3,0805,1,180,
R4,2512,1,0.22,
R5,0805,1,10k,
R6,0805,1,280k,
